,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,CDLMARUBOZU,CDL3STARSINSOUTH,CDL3OUTSIDE,CDL3WHITESOLDIERS,CDLBREAKAWAY,CDLEVENINGSTAR,CDLHAMMER,CDLHARAMICROSS,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLMORNINGDOJISTAR,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSTICKSANDWICH,CDLUNIQUE3RIVER,CDLTHRUSTING,CDLXSIDEGAP3METHODS
111,2023-06-13,MMM,101.26000213623048,103.13999938964844,100.83999633789062,102.73999786376952,99.65788269042967,3283300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2023-06-14,MMM,103.16000366210938,103.66999816894533,101.16999816894533,101.9499969482422,98.89158630371094,3251000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2023-06-15,MMM,101.9000015258789,104.08999633789062,101.62000274658205,103.80999755859376,100.69579315185548,2822400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2023-06-16,MMM,104.25,104.88999938964844,103.16999816894533,104.54000091552734,101.40389251708984,6197000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2023-06-20,MMM,102.77999877929688,102.93000030517578,101.08000183105467,102.3000030517578,99.23109436035156,2746200.0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2023-06-21,MMM,101.66999816894533,102.29000091552734,100.8000030517578,101.47000122070312,98.42598724365234,2518100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2023-06-22,MMM,101.29000091552734,101.30999755859376,99.63999938964844,100.43000030517578,97.41718292236328,2594900.0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2023-06-23,MMM,103.3000030517578,103.5,99.4800033569336,100.72000122070312,97.698486328125,7811300.0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2023-06-26,MMM,100.0,100.88999938964844,99.47000122070312,100.41000366210938,97.39778900146484,3655400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2023-06-27,MMM,99.91999816894533,100.22000122070312,98.06999969482422,98.26000213623048,95.31228637695312,5429400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
