,Unnamed: 0,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,CDLMARUBOZU,CDL3STARSINSOUTH,CDL3OUTSIDE,CDL3WHITESOLDIERS,CDLBREAKAWAY,CDLEVENINGSTAR,CDLHAMMER,CDLHARAMICROSS,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLMORNINGDOJISTAR,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSTICKSANDWICH,CDLUNIQUE3RIVER,CDLTHRUSTING,CDLXSIDEGAP3METHODS
7278,7278,2024-01-02,AXP,186.4900054931641,188.7400054931641,186.07000732421875,188.3099975585937,188.3099975585937,2236600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7529,7529,2024-01-02,AIG,67.3499984741211,68.87999725341797,67.3499984741211,68.83999633789062,68.83999633789062,3897700.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7780,7780,2024-01-02,AMT,214.41000366210932,219.1000061035156,214.41000366210932,218.8099975585937,218.8099975585937,1566300.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8031,8031,2024-01-02,AWK,131.19000244140625,134.02000427246094,130.77000427246094,133.50999450683594,133.50999450683594,1132400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8282,8282,2024-01-02,AMP,378.8900146484375,379.6300048828125,376.5400085449219,379.0299987792969,379.0299987792969,540600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8533,8533,2024-01-02,AME,163.75999450683594,164.5800018310547,161.9499969482422,162.8699951171875,162.8699951171875,798500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8784,8784,2024-01-02,AMGN,287.2799987792969,300.6499938964844,287.2799987792969,297.3900146484375,297.3900146484375,3374900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9035,9035,2024-01-02,APH,97.97000122070312,97.97000122070312,96.37000274658205,96.83000183105467,96.83000183105467,2640800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9286,9286,2024-01-02,ADI,197.07000732421875,197.07000732421875,191.509994506836,193.5800018310547,193.5800018310547,3279200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9537,9537,2024-01-02,ANSS,358.79998779296875,359.6000061035156,349.8800048828125,353.0,353.0,955000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9788,9788,2024-01-02,AON,291.44000244140625,292.8500061035156,287.7900085449219,288.0199890136719,288.0199890136719,1174200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10039,10039,2024-01-02,APA,36.13999938964844,36.63999938964844,35.90999984741211,36.11000061035156,36.11000061035156,2838100.0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
10290,10290,2024-01-02,AAPL,187.1499938964844,188.44000244140625,183.88999938964844,185.63999938964844,185.63999938964844,82386900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
