No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
197,HAL,Halliburton Co,Energy,Oil & Gas Equipment & Services,USA,25012.3,10.01,28.68,-0.73%,6643939
198,HASI,HA Sustainable Infrastructure Capital Inc,Real Estate,Real Estate Services,USA,3491.9,16.7,29.75,-0.93%,1233873
199,HBI,Hanesbrands Inc,Consumer Cyclical,Apparel Manufacturing,USA,3063.21,,8.71,-0.23%,3143253
200,HBM,Hudbay Minerals Inc,Basic Materials,Copper,Canada,3040.53,37.18,8.66,-5.36%,8582012
201,HCA,HCA Healthcare Inc,Healthcare,Medical Care Facilities,USA,80012,14.09,313.93,0.62%,1324512
202,HEES,H&E Equipment Services Inc,Industrials,Rental & Leasing Services,USA,2041.07,14.17,55.89,-0.25%,177838
203,HGV,Hilton Grand Vacations Inc,Consumer Cyclical,Resorts & Casinos,USA,3945.61,45.62,40.31,-0.62%,718031
204,HL,Hecla Mining Co,Basic Materials,Other Precious Metals & Mining,USA,3359.01,,5.4,-2.35%,7944594
205,HLMN,Hillman Solutions Corp,Industrials,Tools & Accessories,USA,2103.67,261.26,10.79,-0.83%,1110468
206,HLX,Helix Energy Solutions Group Inc,Energy,Oil & Gas Equipment & Services,USA,1348.52,244.44,9.24,-4.05%,1954675
207,HRI,Herc Holdings Inc,Industrials,Rental & Leasing Services,USA,5879.56,16.99,207.81,-0.39%,304519
208,HSAI,Hesai Group ADR,Consumer Cyclical,Auto Parts,China,1094.25,,11.23,1.63%,1204420
209,HTZ,Hertz Global Holdings Inc,Industrials,Rental & Leasing Services,USA,1276.09,,4.22,-1.40%,2721394
210,HUBS,HubSpot Inc,Technology,Software - Application,USA,36624.2,,721.86,-1.72%,340579
211,IAG,Iamgold Corp,Basic Materials,Gold,Canada,3050.21,4.17,5.34,-3.96%,5811727
212,IBP,Installed Building Products Inc,Consumer Cyclical,Residential Construction,USA,5388.77,22.05,198.5,-3.53%,387535
213,ICHR,Ichor Holdings Ltd,Technology,Semiconductor Equipment & Materials,USA,1058.55,,32.35,-3.00%,151667
214,IGT,International Game Technology PLC,Consumer Cyclical,Gambling,United Kingdom,3759.31,30.88,18.7,-0.48%,753966
215,INFN,Infinera Corp,Technology,Communication Equipment,USA,1562.9,,6.59,0.15%,1187793
216,IONQ,IonQ Inc,Technology,Computer Hardware,USA,8257.89,,33.83,12.80%,24677316
217,IOT,Samsara Inc,Technology,Software - Infrastructure,USA,25690.29,,46.08,-0.75%,3923336
218,JANX,Janux Therapeutics Inc,Healthcare,Biotechnology,USA,3509.73,,61.11,-0.63%,907040
219,JBLU,Jetblue Airways Corp,Industrials,Airlines,USA,2374.55,,7.04,-2.76%,13720109
220,JOBY,Joby Aviation Inc,Industrials,Airports & Air Services,USA,6069.39,,7.78,1.97%,15531669
221,JWN,"Nordstrom, Inc",Consumer Cyclical,Department Stores,USA,3936.32,14.78,23.18,2.98%,1437270
222,KAR,Openlane Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,2182.93,108.84,20.57,-0.68%,582289
223,KBH,KB Home,Consumer Cyclical,Residential Construction,USA,5087.25,9.16,71.42,-2.87%,1404640
224,KC,Kingsoft Cloud Holdings Ltd ADR,Technology,Software - Application,China,2323.8,,9.16,-4.88%,2790315
225,KD,Kyndryl Holdings Inc,Technology,Information Technology Services,USA,8096.02,,35.31,-1.29%,1286840
226,KFY,Korn Ferry,Industrials,Staffing & Employment Services,USA,3605.17,14.98,70.11,-0.31%,362706
227,KKR,KKR & Co. Inc,Financial,Asset Management,USA,135848.18,47.75,154.34,-0.91%,2612607
228,KMT,Kennametal Inc,Industrials,Tools & Accessories,USA,2052.19,20.91,26.68,-1.04%,501423
229,KMX,Carmax Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,13283.69,32.56,86.26,-0.60%,1331248
230,KNTK,Kinetik Holdings Inc,Energy,Oil & Gas Midstream,USA,8743.45,20.97,56.81,-2.30%,383841
231,KOS,Kosmos Energy Ltd,Energy,Oil & Gas E&P,USA,1357.28,6.64,3.01,-4.44%,22846332
232,KRUS,Kura Sushi USA Inc,Consumer Cyclical,Restaurants,USA,1130.79,,96.93,-3.27%,85820
233,KSS,Kohl's Corp,Consumer Cyclical,Department Stores,USA,1619.99,6.47,14.35,1.41%,7360020
234,KYMR,Kymera Therapeutics Inc,Healthcare,Biotechnology,USA,2725.97,,42.13,-0.09%,426034
235,LAD,"Lithia Motors, Inc",Consumer Cyclical,Auto & Truck Dealerships,USA,10144.5,12.99,380.57,0.07%,268770
236,LADR,Ladder Capital Corp,Real Estate,REIT - Mortgage,USA,1493.57,15.48,11.84,-1.17%,739968
237,LAMR,Lamar Advertising Co,Real Estate,REIT - Specialty,USA,13208.25,25.82,129,0.03%,311307
238,LBRT,Liberty Energy Inc,Energy,Oil & Gas Equipment & Services,USA,3067.66,9.08,18.97,-1.04%,2347548
239,LC,LendingClub Corp,Financial,Banks - Regional,USA,1887.6,35.72,16.56,1.41%,985171
240,LEN,Lennar Corp,Consumer Cyclical,Residential Construction,USA,41369.15,10.22,154.39,-0.69%,2760570
241,LGIH,LGI Homes Inc,Consumer Cyclical,Residential Construction,USA,2289.58,11.96,99.85,-2.48%,306546
242,LMND,Lemonade Inc,Financial,Insurance - Property & Casualty,USA,3119.08,,41.91,4.23%,1767630
243,LNC,Lincoln National Corp,Financial,Insurance - Life,USA,5636.76,23.38,32.95,0.43%,933839
244,LNW,Light & Wonder Inc,Consumer Cyclical,Gambling,USA,7930.53,28.5,91.59,-1.95%,319458
245,LOB,Live Oak Bancshares Inc,Financial,Banks - Regional,USA,1983.45,24.06,44.19,-0.67%,133096
246,LPX,Louisiana-Pacific Corp,Industrials,Building Products & Equipment,USA,7746.47,19.42,112.83,-2.25%,388574
247,LSPD,Lightspeed Commerce Inc,Technology,Software - Application,Canada,2465.66,,16.23,-1.81%,530083
248,LTH,Life Time Group Holdings Inc,Consumer Cyclical,Leisure,USA,4631.27,33.05,22.75,-1.64%,1267536
249,LYFT,Lyft Inc,Technology,Software - Application,USA,5585.07,,14.14,-4.78%,16070750
250,M,Macy's Inc,Consumer Cyclical,Department Stores,USA,4668.12,27.85,16.56,1.53%,7830541
251,MAC,Macerich Co,Real Estate,REIT - Retail,USA,5690.4,,21.5,2.38%,1124612
252,MANH,"Manhattan Associates, Inc",Technology,Software - Application,USA,17528.31,84.73,298.17,-3.75%,305803
253,MAR,"Marriott International, Inc",Consumer Cyclical,Lodging,USA,78977.08,30.02,287.08,-1.00%,797449
254,MCRI,"Monarch Casino & Resort, Inc",Consumer Cyclical,Resorts & Casinos,USA,1598.4,19.31,87.24,-0.37%,124010
255,MCW,Mister Car Wash Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,2429.83,33.95,7.58,-0.52%,1335427
