,Datetime,Interval,Ticker,Open,High,Low,Close,Volume,Avg_Volume_10,RSI,ATR,vol_vs_avrg_vol,SMA_20,SMA_50,SMA_200,SMA_65,desc_number,rsi_peak_rsi_value,rsi_peak_high_value,rsi_bottom_rsi_value,rsi_bottom_low_value,be_current_rsi_less_than_peak,be_current_price_close_above_rsi_peak,be_pre_signal_1,be_pre_signal_last_10,be_close_below_SMA65,be_signal,bu_current_rsi_more_than_bottom,bu_current_price_close_below_rsi_bottom,bu_pre_signal_1,bu_pre_signal_last_13,bu_close_above_SMA65,bu_signal,Combined_Signals_65
6631,2024-11-27 15:00:00-05:00,30m,ON,70.5,70.61000061035156,70.31999969482422,70.33499908447266,187511,170953.0,49.610621500717,0.5445603058447187,1.0968570308798324,70.26018981933593,70.69510437011719,,70.0872800386869,89,51.53284704338812,71.4541015625,36.15076916445836,69.14469909667969,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
6632,2024-11-27 15:30:00-05:00,30m,ON,70.33999633789062,70.48999786376953,70.05999755859375,70.36000061035156,659832,208725.0,49.90649763617354,0.5363774486540803,3.1612504491555877,70.23268966674804,70.72850433349609,,70.1337416428786,88,51.53284704338812,71.4541015625,36.15076916445836,69.14469909667969,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
6633,2024-11-29 09:30:00-05:00,30m,ON,70.91999816894531,71.51000213623047,70.5999984741211,71.27999877929688,278118,215778.8,59.36242011733286,0.5802077398844251,1.2889032657517792,70.25174942016602,70.77840423583984,,70.19781858004056,87,51.53284704338812,71.4541015625,36.15076916445836,69.14469909667969,0,0,0,0,0,0,1,0,0,2,1,Buy,Buy
6634,2024-11-29 10:00:00-05:00,30m,ON,71.27999877929688,71.9000015258789,71.08999633789062,71.7699966430664,230651,222886.7,63.33247087064877,0.5966218433204149,1.0348351875639057,70.28174934387206,70.84140411376953,,70.27412625826322,86,51.53284704338812,71.4541015625,36.15076916445836,69.14469909667969,0,1,0,0,0,0,1,0,0,2,1,Buy,Buy
6635,2024-11-29 10:30:00-05:00,30m,ON,71.73999786376953,71.98999786376953,71.69000244140625,71.91000366210938,164499,226720.4,64.40257756440192,0.5754342418234769,0.7255588822179213,70.3169994354248,70.9010041809082,,70.3444340632512,85,51.53284704338812,71.4541015625,36.15076916445836,69.14469909667969,0,1,0,0,0,0,1,0,0,2,1,Buy,Buy
6636,2024-11-29 11:00:00-05:00,30m,ON,71.92500305175781,72.52999877929688,71.92500305175781,72.44999694824219,252293,237890.4,68.25112631770475,0.5786171614923357,1.060543006359231,70.40599937438965,70.96880416870117,,70.41804938683143,84,68.25112631770475,72.52999877929688,36.15076916445836,69.14469909667969,0,0,0,0,0,0,1,0,0,2,1,Buy,Buy
6637,2024-11-29 11:30:00-05:00,30m,ON,72.4800033569336,72.4800033569336,71.69000244140625,71.83000183105469,169551,237386.8,60.20322260547628,0.5937160010662649,0.7142393764101458,70.47599945068359,71.01840423583984,,70.48289560171274,83,68.25112631770475,72.52999877929688,36.15076916445836,69.14469909667969,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
7167,2024-12-05 13:30:00-05:00,30m,GME,26.18000030517578,30.739999771118164,26.15180015563965,28.380699157714844,10254886,1586551.4,63.910208823677,0.6622235390045051,6.4636330093055925,27.0763201713562,27.431945991516116,28.09401407241821,28.18197382413424,33,48.86251838808853,27.453399658203125,31.95852407781871,26.15010070800781,0,1,0,0,0,0,1,0,0,2,1,Buy,Buy
7168,2024-12-05 14:00:00-05:00,30m,GME,28.40999984741211,30.25,28.36000061035156,29.395000457763672,8275811,2331648.4,70.75730542891125,0.7499218140505003,3.54933917137764,27.171070194244383,27.44064399719238,28.109665079116823,28.161127677330605,32,48.86251838808853,27.453399658203125,31.95852407781871,26.15010070800781,0,1,0,0,0,0,1,0,0,2,1,Buy,Buy
7169,2024-12-05 14:30:00-05:00,30m,GME,29.3700008392334,30.8700008392334,29.1299991607666,30.354999542236328,7288586,2965446.5,75.49589826202325,0.82064180436595,2.457837630859299,27.311305141448976,27.465443992614745,28.127290077209476,28.151512292715218,31,75.49589826202325,30.8700008392334,31.95852407781871,26.15010070800781,0,0,0,0,0,0,1,0,0,2,1,Buy,Buy
