,Datetime,Interval,Ticker,Combined_Signals_65,SMA_65_trend,Open,High,Close_SMA65_Diff_Percent,vol_vs_avrg_vol,RSI,Low,Close,Volume,Avg_Volume_10,ATR,SMA_20,SMA_50,SMA_200,SMA_65,desc_number,rsi_peak_rsi_value,rsi_peak_high_value,rsi_bottom_rsi_value,rsi_bottom_low_value,be_current_rsi_less_than_peak,be_current_price_close_above_rsi_peak,be_pre_signal_1,be_pre_signal_last_10,be_close_below_SMA65,bu_current_rsi_more_than_bottom,bu_current_price_close_below_rsi_bottom,bu_pre_signal_1,bu_pre_signal_last_13,bu_close_above_SMA65,SMA_65_trend_diff
2966,12/14:30,1h,RGTI,Sell,Up,6.7,6.73,6.12,0.92,49.58,5.98,6.07,19773000,21541888.0,0.6,6.65,4.85,2.51,5.72,9,83.71,7.86,73.22,5.84,1,0,0,2,0,0,0,0,0,1,0.0692363580067949
2967,12/15:30,1h,RGTI,Sell,Up,6.07,6.26,3.07,0.7,47.98,5.85,5.96,15207468,21668448.1,0.58,6.67,4.91,2.53,5.78,8,83.71,7.86,47.98,5.85,1,0,0,2,0,0,0,0,0,1,0.0619424184163417
1477,12/09:30,1h,SAVA,Buy,Down,2.84,2.85,-5.04,1.05,34.56,2.78,2.85,420171,400001.8,0.09,2.91,3.06,17.18,3.0,14,35.45,2.88,26.06,2.76,1,0,0,0,1,1,0,0,2,0,-0.0065121217207475
1478,12/10:30,1h,SAVA,Buy,Down,2.84,2.85,-5.83,0.72,32.8,2.8,2.82,292408,406886.5,0.08,2.9,3.05,17.06,2.99,13,35.45,2.88,26.06,2.76,1,0,0,0,1,1,0,0,2,0,-0.0065454497481836
1479,12/11:30,1h,SAVA,Buy,Down,2.81,2.82,-5.78,0.71,32.5,2.79,2.81,287306,402547.7,0.08,2.89,3.04,16.95,2.98,12,35.45,2.88,26.06,2.76,1,0,0,0,1,1,0,0,2,0,-0.0069696975476816
1480,12/12:30,1h,SAVA,Buy,Down,2.81,2.81,-6.07,0.5,31.58,2.78,2.8,164952,328192.7,0.08,2.88,3.03,16.84,2.98,11,35.45,2.88,26.06,2.76,1,0,0,0,1,1,0,0,2,0,-0.0066666675336439
1481,12/13:30,1h,SAVA,Buy,Down,2.8,2.8,-7.95,1.43,27.87,2.72,2.73,428210,298864.6,0.08,2.87,3.01,16.73,2.97,10,35.45,2.88,27.87,2.72,1,0,0,0,1,0,0,0,2,0,-0.0098484862934449
1373,12/13:30,1h,SBUX,Buy,Down,98.06,98.09,-1.37,0.91,36.48,97.54,97.57,467862,512070.4,0.55,98.51,99.46,99.31,98.93,10,48.96,98.88,35.14,97.96,1,0,0,0,1,1,1,1,2,0,-0.0498486143169714
1374,12/14:30,1h,SBUX,Buy,Down,97.58,97.7,-1.34,1.11,36.4,97.42,97.57,601966,541711.8,0.53,98.42,99.37,99.31,98.89,9,48.96,98.88,35.14,97.96,1,0,0,0,1,1,1,1,2,0,-0.0403028545957653
1375,12/15:30,1h,SBUX,Buy,Down,97.57,97.9,-1.03,1.94,40.14,97.45,97.82,1188212,611865.6,0.53,98.4,99.29,99.31,98.84,8,48.96,98.88,35.14,97.96,1,0,0,0,1,1,1,1,2,0,-0.0545455470229825
1740,12/15:30,1h,SNAP,Buy,Down,11.59,11.61,-6.58,1.65,30.61,11.37,11.37,4967973,3008774.8,0.2,11.99,12.26,11.72,12.17,8,35.17,11.6,28.92,11.46,1,0,0,0,1,1,1,1,2,0,-0.0360606222441699
1224,12/09:30,1h,SNOW,Buy,Down,169.6,172.41,-4.57,1.66,34.7,169.46,170.4,1380987,833249.4,2.22,175.44,179.15,148.1,178.57,14,46.5,176.3,27.29,170.94,1,0,0,0,1,1,1,1,2,0,-0.436363913796157
1225,12/10:30,1h,SNOW,Buy,Down,170.43,170.78,-4.24,0.79,35.45,169.08,170.61,618821,781569.5,2.18,174.81,179.1,148.38,178.16,13,46.5,176.3,27.29,170.94,1,0,0,0,1,1,1,1,2,0,-0.4078789913293121
