Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
CIFR,CipherMining,4.72,+0.57,13.73%,42112,316945,21.66%,+54.26%,28764,13348,0.4641
NSC,NorfolkSouthe,214.06,-0.63,-0.29%,2875,24181,54.37%,+53.58%,720,2155,2.9931
SWK,StanleyBlack,77.75,-2.14,-2.68%,3255,53448,37.30%,+53.10%,1561,1694,1.0852
SANA,SanaBiotechno,5.47,+0.01,0.18%,2545,33951,56.34%,+52.85%,336,2209,6.5744
SNOW,SnowflakeInc,142.77,+7.68,5.69%,155607,515925,18.60%,+51.53%,119678,35929,0.3002
FANG,DiamondbackEn,203.71,+3.52,1.76%,4076,71882,61.67%,+51.36%,3238,838,0.2588
GTLB,GitlabIncCl,51.34,+1.62,3.26%,20485,83075,8.42%,+50.99%,18322,2163,0.1181
RIVN,RivianAutomot,13.92,+0.50,3.73%,327724,2432857,18.12%,+50.94%,218561,109163,0.4995
NLY,AnnalyCapital,18.66,-0.40,-2.10%,12190,179289,18.11%,+50.74%,6499,5691,0.8757
ERJ,Embraer-Empres,26.04,+0.24,0.93%,2674,47252,58.33%,+50.14%,2268,406,0.1790
WBA,WalgreensBoot,11.58,-0.52,-4.26%,111936,795240,57.25%,+49.23%,70699,41237,0.5833
BUD,Anheuser-Busch,58.35,+0.20,0.34%,6163,142765,35.47%,+48.43%,4101,2062,0.5028
"TSLA
watching",TeslaInc,209.86,+11.98,6.05%,2730682,6921052,67.36%,+47.73%,1602224,1128458,0.7043
CONN,ConInc,1.04,-0.07,-5.88%,2655,26528,42.40%,+46.93%,6,2649,441.5000
IBM,International,175.1,+2.15,1.24%,32452,336472,72.48%,+46.31%,27398,5054,0.1845
CAN,CanaanIncADR,1.03,+0.03,3.02%,2487,132768,28.76%,+45.69%,2160,327,0.1514
VTRS,ViatrisInc,10.59,-0.04,-0.38%,3917,101012,60.54%,+45.29%,2814,1103,0.3920
TMO,ThermoFisher,541.72,-11.28,-2.04%,3689,48012,56.78%,+44.95%,2217,1472,0.6640
TFC,TruistFinanci,39.25,+0.40,1.03%,17128,223088,23.04%,+44.72%,13440,3688,0.2744
WYNN,WynnResortsL,87.67,-1.83,-2.04%,20176,237513,10.84%,+44.47%,8152,12024,1.4750
